Order City,Customer City,Order Country,Customer Country,Days for shipping (real),Sales per customer,Order Item Total,Shipping Mode,Delivery Status
Bekasi,Caguas,Indonesia,Puerto Rico,3,314.6400146,314.6400146,Standard Class,Advance shipping
Bikaner,Caguas,India,Puerto Rico,5,311.3599854,311.3599854,Standard Class,Late delivery
Bikaner,San Jose,India,EE. UU.,4,309.7200012,309.7200012,Standard Class,Shipping on time
Townsville,Los Angeles,Australia,EE. UU.,3,304.8099976,304.8099976,Standard Class,Advance shipping
Townsville,Caguas,Australia,Puerto Rico,2,298.25,298.25,Standard Class,Advance shipping
Toowoomba,Tonawanda,Australia,EE. UU.,6,294.980011,294.980011,Standard Class,Shipping canceled
Guangzhou,Caguas,China,Puerto Rico,2,288.4200134,288.4200134,First Class,Late delivery
Guangzhou,Miami,China,EE. UU.,2,285.1400146,285.1400146,First Class,Late delivery
Guangzhou,Caguas,China,Puerto Rico,3,278.5899963,278.5899963,Second Class,Late delivery
Guangzhou,San Ramon,China,EE. UU.,2,275.3099976,275.3099976,First Class,Late delivery
Tokio,Caguas,Japón,Puerto Rico,6,272.0299988,272.0299988,Second Class,Shipping canceled
Manado,Freeport,Indonesia,EE. UU.,5,268.7600098,268.7600098,Second Class,Late delivery
Manado,Salinas,Indonesia,EE. UU.,4,262.2000122,262.2000122,Second Class,Late delivery
Sangli,Caguas,India,Puerto Rico,2,245.8099976,245.8099976,First Class,Late delivery
Sangli,Peabody,India,EE. UU.,2,327.75,327.75,First Class,Late delivery
Sangli,Caguas,India,Puerto Rico,2,324.4700012,324.4700012,First Class,Late delivery
Seúl,Canovanas,Corea del Sur,Puerto Rico,5,321.2000122,321.2000122,Second Class,Late delivery
Jabalpur,Paramount,India,EE. UU.,2,317.9200134,317.9200134,First Class,Late delivery
Jabalpur,Caguas,India,Puerto Rico,2,314.6400146,314.6400146,First Class,Late delivery
Jabalpur,Mount Prospect,India,EE. UU.,0,311.3599854,311.3599854,Same Day,Shipping on time
Jabalpur,Long Beach,India,EE. UU.,0,309.7200012,309.7200012,Same Day,Shipping on time
Jabalpur,Caguas,India,Puerto Rico,5,304.8099976,304.8099976,Standard Class,Late delivery
Geelong,Rancho Cordova,Australia,EE. UU.,4,298.25,298.25,Second Class,Late delivery
Geelong,Caguas,Australia,Puerto Rico,3,294.980011,294.980011,Second Class,Shipping canceled
Brisbane,Billings,Australia,EE. UU.,2,288.4200134,288.4200134,Second Class,Shipping canceled
Mandurah,Caguas,Australia,Puerto Rico,6,285.1400146,285.1400146,Second Class,Late delivery
Mandurah,Wilkes Barre,Australia,EE. UU.,5,278.5899963,278.5899963,Second Class,Late delivery
Guilin,Caguas,China,Puerto Rico,4,275.3099976,275.3099976,Standard Class,Shipping on time
Guilin,Roseville,China,EE. UU.,3,272.0299988,272.0299988,Standard Class,Advance shipping
Guilin,Bellflower,China,EE. UU.,2,268.7600098,268.7600098,Standard Class,Advance shipping
Guilin,Caguas,China,Puerto Rico,6,262.2000122,262.2000122,Standard Class,Late delivery
Delhi,Wheaton,India,EE. UU.,5,245.8099976,245.8099976,Standard Class,Late delivery
Delhi,Caguas,India,Puerto Rico,4,327.75,327.75,Standard Class,Shipping on time
Suzhou,Detroit,China,EE. UU.,2,324.4700012,324.4700012,First Class,Late delivery
Suzhou,Dallas,China,EE. UU.,2,321.2000122,321.2000122,First Class,Late delivery
Singapur,Caguas,Singapur,Puerto Rico,2,317.9200134,317.9200134,First Class,Late delivery
Hubli,Carlisle,India,EE. UU.,2,314.6400146,314.6400146,First Class,Late delivery
Wollongong,Dallas,Australia,EE. UU.,2,311.3599854,311.3599854,First Class,Late delivery
Wollongong,Caguas,Australia,Puerto Rico,1,309.7200012,309.7200012,Same Day,Late delivery
Wollongong,Newark,Australia,EE. UU.,1,304.8099976,304.8099976,Same Day,Shipping canceled
Singapur,Panorama City,Singapur,EE. UU.,1,298.25,298.25,Same Day,Late delivery
Singapur,Caguas,Singapur,Puerto Rico,1,294.980011,294.980011,Same Day,Late delivery
Medan,Atlanta,Indonesia,EE. UU.,4,288.4200134,288.4200134,Standard Class,Shipping on time
Medan,Caguas,Indonesia,Puerto Rico,3,285.1400146,285.1400146,Standard Class,Advance shipping
Canberra,Fremont,Australia,EE. UU.,2,278.5899963,278.5899963,Standard Class,Advance shipping
Bangalore,Caguas,India,Puerto Rico,6,275.3099976,275.3099976,Standard Class,Late delivery
Bangalore,Rochester,India,EE. UU.,5,272.0299988,272.0299988,Second Class,Late delivery
Yiwu,Dallas,China,EE. UU.,4,268.7600098,268.7600098,Standard Class,Shipping on time
Mirzapur,Bayamon,India,Puerto Rico,5,115.1800003,115.1800003,Second Class,Late delivery
Bursa,Caguas,Turquía,Puerto Rico,2,79.18000031,79.18000031,Second Class,Shipping on time
Murray Bridge,Caguas,Australia,Puerto Rico,6,96.0,96.0,Second Class,Late delivery
Kartal,Caguas,Turquía,Puerto Rico,2,75.98000336,75.98000336,Second Class,Shipping on time
Ulan Bator,Caguas,Mongolia,Puerto Rico,3,91.0,91.0,Second Class,Late delivery
Estambul,Caguas,Turquía,Puerto Rico,5,87.0,87.0,Second Class,Late delivery
Raipur,Caguas,India,Puerto Rico,6,82.0,82.0,Second Class,Late delivery
Pasco,Caguas,Estados Unidos,Puerto Rico,2,74.68000031,74.68000031,Second Class,Shipping on time
Los Angeles,Caguas,Estados Unidos,Puerto Rico,5,90.15000153,90.15000153,Second Class,Late delivery
San Francisco,Caguas,Estados Unidos,Puerto Rico,6,117.5800018,117.5800018,Second Class,Late delivery
Overland Park,Caguas,Estados Unidos,Puerto Rico,4,95.98000336,95.98000336,Second Class,Late delivery
Ugep,Caguas,Nigeria,Puerto Rico,2,263.9700012,263.9700012,Second Class,Shipping on time
Kinshasa,Caguas,República Democrática del Congo,Puerto Rico,5,113.9700012,113.9700012,Second Class,Late delivery
Dakar,Caguas,Senegal,Puerto Rico,5,63.99000168,63.99000168,Second Class,Late delivery
Casablanca,Caguas,Marruecos,Puerto Rico,5,79.66000366,79.66000366,Second Class,Late delivery
Dortmund,Caguas,Alemania,Puerto Rico,3,293.9700012,293.9700012,Second Class,Late delivery
Drancy,Caguas,Francia,Puerto Rico,2,269.9700012,269.9700012,Second Class,Shipping on time
Nantes,Caguas,Francia,Puerto Rico,6,224.9799957,224.9799957,Second Class,Late delivery
Groningen,Caguas,Países Bajos,Puerto Rico,4,176.3699951,176.3699951,Second Class,Late delivery
Gateshead,Caguas,Reino Unido,Puerto Rico,2,167.3699951,167.3699951,Second Class,Shipping on time
Eastbourne,Caguas,Reino Unido,Puerto Rico,3,163.7700043,163.7700043,Second Class,Late delivery
Hayange,Caguas,Francia,Puerto Rico,3,161.9700012,161.9700012,Second Class,Late delivery
Drancy,Caguas,Francia,Puerto Rico,2,139.5,139.5,Second Class,Shipping on time
Portsmouth,Caguas,Reino Unido,Puerto Rico,4,107.9700012,107.9700012,Second Class,Late delivery
Gelsenkirchen,Caguas,Alemania,Puerto Rico,3,112.5,112.5,Second Class,Late delivery
Nice,Caguas,Francia,Puerto Rico,6,55.40999985,55.40999985,Second Class,Late delivery
Petapa,Caguas,Guatemala,Puerto Rico,6,299.9700012,299.9700012,Second Class,Late delivery
Mejicanos,Caguas,El Salvador,Puerto Rico,5,178.1699982,178.1699982,Second Class,Late delivery
David,Caguas,Panamá,Puerto Rico,4,170.9700012,170.9700012,Second Class,Late delivery
Santo Domingo,Caguas,República Dominicana,Puerto Rico,5,170.0700073,170.0700073,Second Class,Late delivery
Cabimas,Caguas,Venezuela,Puerto Rico,5,167.3699951,167.3699951,Second Class,Late delivery
Cabimas,Caguas,Venezuela,Puerto Rico,5,163.7700043,163.7700043,Second Class,Late delivery
Santo Domingo,Caguas,República Dominicana,Puerto Rico,3,152.9700012,152.9700012,Second Class,Late delivery
Dos Quebradas,Caguas,Colombia,Puerto Rico,4,152.9700012,152.9700012,Second Class,Late delivery
Ilopango,Caguas,El Salvador,Puerto Rico,4,150.0,150.0,Second Class,Late delivery
Tegucigalpa,Caguas,Honduras,Puerto Rico,4,115.1699982,115.1699982,Second Class,Late delivery
Juazeiro,Caguas,Brasil,Puerto Rico,4,144.0,144.0,Second Class,Late delivery
Santo Domingo,Caguas,República Dominicana,Puerto Rico,5,142.5,142.5,Second Class,Late delivery
Mexico City,Caguas,México,Puerto Rico,6,139.5,139.5,Second Class,Late delivery
Tlaquepaque,Caguas,México,Puerto Rico,2,132.0,132.0,Second Class,Shipping on time
Puebla,Caguas,México,Puerto Rico,4,132.0,132.0,Second Class,Late delivery
Puebla,Caguas,México,Puerto Rico,4,130.5,130.5,Second Class,Late delivery
Mexico City,Caguas,México,Puerto Rico,4,124.5,124.5,Second Class,Late delivery
São Paulo,Caguas,Brasil,Puerto Rico,4,99.58000183,99.58000183,Second Class,Late delivery
